"BROKEN","EPÄ°C","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","PayTR Performance Testing","1","Performance Metrics","0","0","Memory Usage Performance","0"
"0","PayTR Performance Testing","1","Performance Metrics","0","0","Page Load Performance","0"
"0","PayTR Performance Testing","1","Performance Metrics","0","0","API Response Performance","0"
"0","PayTR Performance Testing","1","Performance Metrics","0","0","Concurrent Load Performance","0"
"0","","0","","2","0","","0"
"0","PayTR API Testing","1","API Endpoints","0","0","Payment API","0"
"0","PayTR Integration Testing","1","System Integration","0","0","Frontend-Backend Integration","0"
"0","PayTR Usability Testing","1","User Experience","0","0","Mobile Responsiveness","0"
"0","PayTR API Testing","1","API Endpoints","0","0","Authentication API","0"
"0","PayTR Integration Testing","0","System Integration","1","0","Third-party Service Integration","0"
